,zip,asian_d,black_d,hispanic_d,native_d,native_h_d,Unknown,white_d,total,p_white_d,p_black_d,p_hispanic_d,p_native_d,p_native_h_d,p_Unknown_d,p_asian_d,population,white,black,native,asian,native_h,mixed,hispanic,p_white,p_black,p_native,p_asian,p_native_h,p_mixed,p_hispanic,white_popp,black_popp,hispanic_popp,native_popp,asian_popp,white_prop,black_prop,hispanic_prop,native_perc_prop,asian_perc_prop
0,1085,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41479.0,38721.0,689.0,47.0,935.0,39.0,608.0,3155.0,0.9335085223848212,0.01661081511126112,0.0011331034981556932,0.022541527037778154,0.000940234817618554,0.014658019720822585,0.0760625858868343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1089,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28575.0,24395.0,811.0,200.0,1358.0,0.0,487.0,2924.0,0.8537182852143482,0.028381452318460194,0.00699912510936133,0.04752405949256343,0.0,0.01704286964129484,0.10232720909886264,4.099200655872105e-05,0.0,0.0,0.0,0.0,1.171346587415454,0.0,0.0,0.0,0.0
2,1103,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2430.0,1303.0,373.0,5.0,66.0,0.0,64.0,1476.0,0.5362139917695473,0.1534979423868313,0.00205761316872428,0.027160493827160494,0.0,0.02633744855967078,0.6074074074074074,0.0,0.002680965147453083,0.0,0.0,0.0,0.0,6.514745308310991,0.0,0.0,0.0
3,1108,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28449.0,16866.0,5219.0,254.0,1365.0,33.0,1338.0,12525.0,0.5928503638089212,0.18345108791170164,0.008928257583746354,0.04798059685753454,0.001159970473478857,0.04703153010650638,0.4402615206158389,5.9290881062492586e-05,0.0,0.0,0.0,0.0,1.6867662753468518,0.0,0.0,0.0,0.0
4,1109,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30139.0,12657.0,11455.0,67.0,241.0,0.0,1573.0,11772.0,0.41995421215036993,0.380072331530575,0.0022230332791399847,0.007996283884667707,0.0,0.05219151265801785,0.39059026510501343,0.0,8.729812309035356e-05,0.0,0.0,0.0,0.0,2.631078131820166,0.0,0.0,0.0
5,1201,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45001.0,39647.0,2107.0,99.0,880.0,14.0,1412.0,2402.0,0.8810248661140864,0.04682118175151663,0.002199951112197507,0.01955512099731117,0.0003111041976844959,0.03137708050932202,0.053376591631297085,2.5222589351022777e-05,0.0,0.0,0.0,0.0,1.135041743385376,0.0,0.0,0.0,0.0
6,1364,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7832.0,7622.0,17.0,30.0,50.0,0.0,113.0,141.0,0.9731869254341164,0.002170582226762002,0.003830439223697651,0.006384065372829418,0.0,0.014427987742594484,0.01800306435137896,0.0001311991603253739,0.0,0.0,0.0,0.0,1.0275518236683285,0.0,0.0,0.0,0.0
7,1501,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16239.0,15394.0,260.0,14.0,340.0,0.0,139.0,762.0,0.9479647761561673,0.016010838105794692,0.0008621220518504834,0.020937249830654595,0.0,0.008559640371944085,0.046924071679290594,6.496037417175523e-05,0.0,0.0,0.0,0.0,1.054891516175133,0.0,0.0,0.0,0.0
8,1542,0,0,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2366.0,2292.0,15.0,25.0,0.0,0.0,34.0,21.0,0.9687235841081995,0.006339814032121725,0.010566356720202874,0.0,0.0,0.014370245139475908,0.008875739644970414,0.0,0.0,0.047619047619047616,0.0,,0.0,0.0,112.66666666666666,0.0,
9,1562,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11801.0,11213.0,93.0,52.0,283.0,0.0,160.0,496.0,0.9501737140920261,0.007880688077281586,0.004406406236759597,0.023981018557749343,0.0,0.013558173036183374,0.04203033641216846,8.918219923303308e-05,0.0,0.0,0.0,0.0,1.0524391331490235,0.0,0.0,0.0,0.0
