id,Geographic Area Name,Total_population_18_24,Total_18_24_lt_high_school,Total_18_24_high_school_diploma,Total_18_24_associate_degree,Total_18_24_bachelor,Total_population_25_and_over,Total_population_25_lt_9th,Total_25_9_12_no_diploma,Total_25_high_School,Total_population_25_college_no_degree,Total_population_25_associate_degree,Total_population_25 _bachelor,Total_population_25_graduate,Total_25_over_High_school,Total_population_25years_and_over_Bachelor,Total_population_25_34,Total_25_34_High_school,Total_25_34_Bachelor_higher,Total_population_35_44,Total_35_44_high_school_graduate,Total_35_44_bachelor_degree,Total_population_45_64_years,Total_45_64_high_school,Total_45_64_bachelor_degree,Total_population_65_years_over,Total_65_high_school,Total_65_bachelor_degree
310M400US10100,"Aberdeen, SD Micro Area",4294,652,1135,2049,458,28245,1008,1000,8755,5850,3448,5697,2487,26237,8184,5606,5243,1898,4649,4406,1589,10764,10306,3114,7226,6282,1583
310M400US10140,"Aberdeen, WA Micro Area",5171,803,2038,2103,227,51839,1969,3792,17035,15132,5706,5506,2699,46078,8205,8428,7529,993,8289,7196,1399,20515,18297,3388,14607,13056,2425
310M400US10180,"Abilene, TX Metro Area",22201,2699,7417,10364,1721,107411,5195,8794,34612,27056,7860,16140,7754,93422,23894,25176,22652,5159,19402,17141,4283,37959,32936,8604,24874,20693,5848
310M400US10220,"Ada, OK Micro Area",4426,561,1248,2353,264,24796,655,2156,8254,5414,1356,4279,2682,21985,6961,5373,4813,1509,4365,3959,1375,8910,8021,2441,6148,5192,1636
310M400US10260,"Adjuntas, PR Micro Area",1719,302,331,927,159,12554,3082,1452,3173,1678,923,1864,382,8020,2246,2239,1963,619,2131,1558,463,4954,3261,830,3230,1238,334
310M400US10300,"Adrian, MI Micro Area",9302,1208,3001,4623,470,68044,1767,4511,25224,16377,5966,9359,4840,61766,14199,11090,9989,2339,11791,10915,3117,27656,25631,5787,17507,15231,2956
310M400US10380,"Aguadilla-Isabela, PR Metro Area",28878,3287,7382,15609,2600,217176,46548,21297,60055,25733,19705,32991,10847,149331,43838,36819,31457,10055,38680,31603,10078,82582,60520,17191,59095,25751,6514
310M400US10420,"Akron, OH Metro Area",74626,7970,20917,36927,8812,483509,10605,29642,153735,97209,40857,95248,56213,443262,151461,88888,82845,31912,80646,75803,30174,196784,182454,59472,117191,102160,29903
310M400US10460,"Alamogordo, NM Micro Area",7203,972,2327,3311,593,43102,2984,4111,11741,11516,4571,4813,3366,36007,8179,9623,8254,1721,7192,5972,1518,15335,12797,2754,10952,8984,2186
310M400US10500,"Albany, GA Metro Area",15923,3701,4839,6805,578,99771,5002,11528,31512,22610,9304,11466,8349,83241,19815,20210,17339,3331,18309,15938,4429,38329,32776,7936,22923,17188,4119
310M400US10540,"Albany, OR Metro Area",9610,1778,3342,4064,426,85098,2572,6014,25544,25944,8406,11455,5163,76512,16618,16120,14694,3406,14635,13128,3454,32292,29013,5794,22051,19677,3964
310M400US10580,"Albany-Schenectady-Troy, NY Metro Area",99009,8741,26936,46704,16628,606254,15070,31457,160751,101373,74264,122161,101178,559727,223339,112058,106208,48510,104016,97576,44816,244614,226806,85792,145566,129137,44221
310M400US10620,"Albemarle, NC Micro Area",5182,1021,1692,2207,262,42655,1852,4507,14813,9802,4940,4775,1966,36296,6741,7251,6262,1245,7189,6231,1195,16973,14750,2793,11242,9053,1508
310M400US10660,"Albert Lea, MN Micro Area",2029,380,750,775,124,21816,784,1430,8131,4916,2903,2672,980,19602,3652,3462,3003,682,3284,2967,556,8427,7836,1494,6643,5796,920
310M400US10700,"Albertville, AL Micro Area",7847,1526,2925,2995,401,63644,4796,7355,19818,14125,5317,7915,4318,51493,12233,11658,9306,2181,11594,9024,2156,24451,20261,4587,15941,12902,3309
310M400US10740,"Albuquerque, NM Metro Area",82340,14003,23477,39056,5804,620953,27174,44888,152278,148237,52046,109663,86667,548891,196330,129852,115674,36484,114256,100345,37316,234927,209015,74410,141918,123857,48120
